id,source,mean_deviation,bcs01,bcs02,bcs03,bcs04,bcs05,bcs06,bcs07,bcs08,bcs09,bcs10,bcs11,bcs12,bcs13,bcs14,bcs15,bcs16,bcs17,bcs18,bcs19,bcs20,bcs21,bcs22,bcs23,bcs24,bcs25,bcs26,bcs27,bcs28,bcs29,bcs30,bcs31,bcs32,bcs33,bcs34,bcs35,bcs36,bcs37,bcs38,bcs39,bcs40,bcs41,bcs42,bcs43,bcs44,bcs45,bcs46,bcs47,bcs48,bcs49,bcs50
20260220_010749,qwen/qwen2.5-vl-32b-instruct,1.1327,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,7.0,7.0,8.0,8.0,9.0,7.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,,8.0,5.0,7.0,5.0,5.0,5.0,1.0,8.0,2.0,5.0,5.0,2.0,5.0,9.0
20260220_011352,qwen/qwen2.5-vl-7b-instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260220_011739,google/gemini-2.0-flash-001,0.8800,3.0,6.0,7.0,6.0,5.0,5.0,4.0,3.0,5.0,5.0,8.0,7.0,7.0,8.0,8.0,8.0,5.0,4.0,5.0,5.0,5.0,4.5,6.0,6.0,3.0,5.0,4.0,3.0,5.0,5.0,3.0,5.0,8.0,5.0,5.0,9.0,8.0,5.0,7.0,6.5,6.0,7.0,3.0,8.0,4.0,7.0,5.0,3.0,6.0,7.0
20260220_014103,qwen/qwen2.5-vl-72b-instruct,1.1327,4.0,5.0,7.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,8.0,7.5,7.0,8.0,5.0,7.0,4.0,5.0,5.0,4.0,7.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.5,5.0,8.0,5.0,5.0,,8.0,5.0,7.0,4.0,7.0,5.0,4.0,7.5,3.0,7.0,5.0,3.0,5.0,8.0
20260220_014618,qwen/qwen2.5-vl-32b-instruct,1.1327,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,7.0,7.0,8.0,8.0,8.0,7.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,,8.0,5.0,7.0,5.0,5.0,5.0,1.0,8.0,2.0,6.0,5.0,2.0,5.0,9.0
20260220_015220,qwen/qwen2.5-vl-7b-instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260220_015437,google/gemini-2.0-flash-001,0.9100,3.0,6.0,7.0,6.0,5.0,5.0,4.0,3.0,5.0,5.0,8.0,7.0,7.0,8.0,8.0,8.0,5.0,4.0,5.0,5.0,5.0,4.5,6.0,6.0,3.0,5.0,4.0,3.0,5.0,5.0,3.0,5.0,8.0,5.0,5.0,9.0,8.0,5.0,7.0,5.0,6.0,7.0,3.0,8.0,4.0,7.0,5.0,3.0,6.0,7.0
20260220_015654,google/gemini-2.0-flash-lite-001,0.9898,3.5,5.5,6.5,5.0,3.5,5.0,3.5,3.0,5.0,4.5,8.0,6.5,7.5,8.0,7.5,7.5,5.0,4.5,4.5,5.0,5.5,3.5,5.5,5.5,3.0,5.0,3.5,3.5,3.5,5.5,3.5,5.0,7.5,5.0,5.0,,8.0,5.5,6.5,5.0,6.5,6.5,3.0,8.0,3.0,6.5,5.0,3.5,6.5,4.5
20260220_020257,google/gemini-1.5-pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260220_020904,google/gemini-1.5-flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260220_021438,anthropic/claude-3.5-sonnet,0.9082,5.0,7.5,7.5,6.5,5.0,4.5,5.0,2.5,5.0,5.0,7.5,7.5,7.5,7.5,8.5,7.5,5.0,4.5,6.5,5.0,6.0,4.5,5.0,6.5,3.5,5.0,3.5,5.0,6.5,5.5,5.0,5.5,7.5,6.5,7.5,,7.5,5.0,6.5,6.5,5.0,7.0,3.5,8.0,3.5,6.5,5.0,3.5,7.5,1.5
20260220_021903,anthropic/claude-3.7-sonnet,0.8878,3.5,5.0,7.5,6.5,5.0,3.5,5.0,3.5,4.5,5.0,8.5,7.0,7.5,7.5,7.5,6.5,4.5,4.5,4.5,5.0,5.5,3.5,5.5,5.5,3.5,5.5,5.5,5.0,5.0,5.5,3.5,5.5,7.5,5.0,6.0,,7.5,5.5,6.5,5.0,6.0,6.5,3.0,7.5,3.5,7.5,5.0,3.5,6.5,5.5
20260220_022156,openai/gpt-4o-mini,0.8673,4.0,5.0,7.0,7.0,3.0,5.0,5.0,4.0,4.5,5.0,8.0,6.5,7.0,8.0,8.0,8.0,5.0,5.0,4.0,5.0,5.0,3.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,8.0,5.0,5.5,,8.0,5.0,5.0,5.5,5.0,5.5,4.0,8.0,2.0,7.0,3.5,4.0,6.0,5.0
20260220_030939,anthropic/claude-sonnet-4.5,0.9184,3.5,5.0,7.5,5.0,5.0,4.5,5.0,3.5,5.0,5.0,7.5,7.0,7.5,8.5,8.5,7.5,5.0,5.0,5.0,5.0,5.0,4.5,7.5,6.5,3.5,5.0,3.5,4.5,5.0,5.5,5.0,5.5,7.5,5.0,5.0,,7.5,5.0,7.5,5.0,5.0,7.5,4.5,7.5,3.5,7.5,5.0,2.5,7.5,5.0
20260220_031357,anthropic/claude-3.7-sonnet,0.8878,3.5,5.0,7.5,6.5,5.0,3.5,5.0,3.5,4.5,5.0,8.5,7.0,7.5,7.5,6.0,7.5,4.5,4.5,4.5,5.0,5.5,3.5,5.5,5.5,3.5,5.5,4.5,5.0,5.0,5.5,3.5,5.5,8.5,5.0,6.0,,7.5,5.5,6.5,5.0,6.0,6.5,3.0,7.5,3.5,7.5,5.0,3.5,6.5,5.5
20260220_031925,anthropic/claude-3.5-sonnet,1.0306,5.0,6.5,8.0,6.5,5.0,5.0,5.0,2.5,5.0,5.0,6.5,6.0,7.5,7.5,8.5,6.5,5.0,5.5,6.5,5.0,6.0,4.5,5.0,5.5,3.5,5.0,3.5,5.0,5.0,5.5,5.0,4.5,7.0,6.5,5.0,,7.5,5.5,6.5,5.0,6.0,6.5,3.5,7.5,3.0,6.5,5.0,3.5,7.5,1.5
20260220_033708,google/gemini-2.5-pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260220_033933,google/gemini-2.5-flash,0.8100,5.0,5.0,7.0,6.0,5.0,5.0,5.0,2.0,5.0,5.0,8.0,7.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,3.0,6.0,6.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,7.0,5.0,5.0,9.0,8.0,6.0,6.0,5.0,5.0,7.0,4.0,8.0,5.0,7.0,5.0,4.0,6.0,7.0
20260220_034200,google/gemini-2.0-flash-lite-001,0.9286,3.5,5.0,6.5,5.0,3.5,5.0,4.5,3.0,5.0,4.5,8.0,6.5,7.5,8.0,7.5,7.5,5.0,4.5,4.5,5.0,5.5,3.5,5.5,5.5,3.0,5.0,3.5,3.5,4.5,5.5,3.5,4.5,7.5,5.0,5.0,,8.0,5.5,6.5,5.0,6.5,6.5,3.0,8.0,3.0,6.5,4.5,3.5,6.5,4.5
20260220_035935,x-ai/grok-4,0.6100,5.0,5.0,7.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,9.0,8.0,8.0,9.0,8.5,9.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,9.0,8.0,5.0,5.0,7.5,7.0,7.0,2.0,9.0,3.0,8.0,5.0,3.0,8.0,5.0
20260220_040543,x-ai/grok-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260220_172157,qwen3-vl:4b,0.8750,5.0,5.0,9.0,7.0,,5.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,6.0,5.0,,8.0,5.0,8.0,5.0,7.0,7.0,3.0,9.0,3.0,7.0,5.0,4.0,6.0,5.0
20260220_181004,qwen3-vl:8b,1.2347,5.0,7.0,8.0,7.0,6.0,5.0,5.0,7.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.5,7.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,6.0,6.0,,8.0,6.0,6.0,5.0,6.0,7.0,4.0,8.0,5.0,7.0,6.0,6.0,8.0,7.0
20260220_185415,qwen3-vl:4b,0.9062,5.0,5.0,8.0,7.0,,5.0,5.0,5.0,7.0,5.0,9.0,8.0,7.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,6.0,5.0,,8.0,5.0,8.0,5.0,7.0,5.0,5.0,9.0,2.0,8.0,5.0,4.0,8.0,8.0
20260220_193949,qwen3-vl:4b,0.8646,5.0,8.0,8.0,7.0,,5.0,5.0,5.0,5.0,5.0,9.0,8.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.5,3.0,8.0,5.0,5.0,,8.0,5.0,8.0,7.0,6.0,7.0,5.0,9.0,2.0,7.0,2.0,4.0,8.0,7.0
20260220_202919,qwen3-vl:4b,0.9167,5.0,5.0,8.0,5.0,,5.0,5.0,5.0,5.0,5.0,9.0,8.0,8.0,8.0,8.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,5.0,5.0,,8.0,5.0,7.0,5.0,5.0,5.0,5.0,9.0,2.0,7.0,5.0,5.0,7.0,7.0
20260221_012948,openai/gpt-4.1,0.7653,3.0,4.0,8.0,7.0,2.0,3.0,5.0,2.0,3.0,5.0,9.0,7.0,8.0,9.0,9.0,8.0,4.0,3.0,4.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,3.0,3.0,5.0,4.0,3.0,2.0,8.0,5.0,5.0,,9.0,6.0,6.0,7.0,5.0,7.0,3.0,9.0,4.0,7.0,3.0,3.0,6.0,3.0
20260221_013417,openai/gpt-4.1,0.8061,3.0,4.0,8.0,7.5,2.0,3.0,5.0,2.0,3.0,5.0,9.0,7.0,8.0,9.0,9.0,8.0,4.0,3.0,4.0,5.0,5.0,2.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,2.0,8.0,5.0,5.0,,9.0,6.0,6.0,7.0,5.0,7.0,3.0,9.0,4.0,7.0,3.0,3.0,6.0,3.0
20260221_013959,openai/gpt-4o,0.4592,3.0,5.0,8.0,7.0,3.0,4.0,5.0,2.0,5.0,5.0,9.0,7.0,8.0,9.0,9.0,8.0,5.0,4.0,5.0,5.0,6.5,2.0,5.0,6.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,8.0,5.0,7.0,,9.0,7.0,7.0,7.0,6.0,8.0,3.0,9.0,5.0,8.0,3.0,3.0,8.0,5.0
20260221_014419,openai/gpt-4o,0.4286,3.0,5.0,8.0,7.0,3.0,4.0,5.0,2.0,5.0,5.0,9.0,7.0,8.0,9.0,9.0,8.0,5.0,4.0,4.0,5.0,6.5,2.0,5.0,7.0,3.5,5.0,5.0,3.5,5.0,5.0,3.5,3.0,8.0,5.0,7.0,,9.0,7.0,7.0,7.0,6.0,8.0,3.0,9.0,5.0,8.0,3.0,3.0,8.0,5.0
20260221_052107,ft:gpt-4o-2024-08-06:personal::DBRmKcVG,0.3571,5.0,5.0,8.0,7.0,3.0,4.0,5.0,2.0,5.0,5.0,9.0,7.0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,6.0,2.0,5.0,7.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,9.0,5.0,7.0,,9.0,8.0,7.0,7.0,7.0,7.0,4.0,9.0,5.0,8.0,3.0,4.0,8.0,5.0
20260221_055110,ft:gpt-4o-2024-08-06:personal::DBRmKcVG,0.3878,5.0,5.0,8.0,7.0,3.0,5.0,5.0,2.0,5.0,5.0,9.0,7.0,9.0,9.0,9.0,8.0,5.0,5.0,5.0,5.0,6.0,2.0,5.0,7.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,8.0,5.0,7.0,,9.0,7.0,7.0,7.0,6.0,7.0,4.0,9.0,5.0,8.0,5.0,4.0,8.0,5.0
20260221_055348,ft:gpt-4o-2024-08-06:personal::DBRmKcVG,0.3776,5.0,5.0,8.0,7.0,3.0,5.0,5.0,2.0,5.0,5.0,9.0,7.0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,6.0,2.0,5.0,7.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,9.0,5.0,7.0,,9.0,8.0,7.0,7.0,6.0,7.0,5.0,9.0,5.0,8.0,5.0,4.0,8.0,5.0
20260221_055627,ft:gpt-4o-2024-08-06:personal::DBRmKcVG,0.3673,5.0,5.0,8.0,7.0,3.0,4.0,5.0,2.0,5.0,5.0,9.0,7.0,9.0,9.0,9.0,8.0,5.0,5.0,5.0,5.0,7.0,1.0,5.0,7.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,8.0,5.0,7.0,,9.0,7.0,7.0,7.0,6.0,7.0,4.0,9.0,5.0,8.0,5.0,4.0,8.0,5.0
20260223_104619,Qwen/Qwen3-VL-4B-Instruct,1.0200,5.0,5.0,7.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,8.0,7.0,7.0,7.0,8.0,7.0,4.0,5.0,5.0,4.0,5.0,3.5,5.0,5.0,4.5,4.5,5.0,5.0,5.0,4.5,4.5,4.5,8.0,5.0,5.0,8.0,8.0,5.0,6.5,5.0,5.0,5.0,5.0,8.0,5.0,6.5,5.0,4.5,6.5,5.0
20260223_105946,Qwen/Qwen3-VL-4B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260223_110834,Qwen/Qwen3-VL-4B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260223_110918,Qwen/Qwen3-VL-4B-Instruct,0.5000,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260223_110952,Qwen/Qwen3-VL-4B-Instruct,1.6900,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
20260223_120634,Qwen/Qwen3-VL-4B-Instruct_ft_20260223_120634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260223_120949,internvl2-8b,1.6900,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
20260223_124343,Qwen/Qwen3-VL-4B-Instruct_ft_20260223_124343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260223_125823,internvl2-8b,1.6900,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
20260223_140535,Qwen/Qwen3-VL-4B-Instruct_ft_20260223_140535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260223_141104,internvl2-8b,0.9000,5.0,5.0,8.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,8.0,5.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,8.0,8.0,5.0,7.0,5.0,5.0,5.0,5.0,8.0,5.0,7.0,5.0,5.0,7.0,5.0
20260223_185816,qwen3-vl-4b-lora,0.9400,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,8.0,8.0,5.0,7.0,5.0,5.0,5.0,5.0,8.0,5.0,7.0,5.0,5.0,7.0,5.0
20260223_185911,qwen3-vl-4b-lora,0.9200,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,8.0,8.0,5.0,7.0,5.0,5.0,5.0,5.0,8.0,5.0,7.0,5.0,5.0,7.0,5.0
20260223_191225,qwen3_vl_4b_lora_bcs,0.9000,5.0,5.0,8.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,8.0,5.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,8.0,8.0,5.0,7.0,5.0,5.0,5.0,5.0,8.0,5.0,7.0,5.0,5.0,7.0,5.0
20260223_192034,Qwen/Qwen3-VL-4B-Instruct_ft_20260223_140535,0.9400,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,8.0,8.0,5.0,7.0,5.0,5.0,5.0,5.0,8.0,5.0,7.0,5.0,5.0,7.0,5.0
20260223_201042,Qwen/Qwen3-VL-4B-Instruct_ft_20260223_200414,0.9200,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,8.0,8.0,5.0,7.0,5.0,5.0,5.0,5.0,8.0,5.0,7.0,5.0,5.0,7.0,5.0
20260223_224136,Qwen/Qwen3-VL-4B-Instruct_ft_20260223_223128,0.9400,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,8.0,8.0,5.0,7.0,5.0,5.0,5.0,5.0,8.0,5.0,7.0,5.0,5.0,7.0,5.0
20260223_225440,Qwen/Qwen3-VL-4B-Instruct_ft_20260223_223128,0.9200,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,8.0,8.0,5.0,7.0,5.0,5.0,5.0,5.0,8.0,5.0,7.0,5.0,5.0,7.0,5.0
20260223_225535,Qwen/Qwen3-VL-4B-Instruct_ft_20260223_223128,0.9400,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,8.0,8.0,5.0,7.0,5.0,5.0,5.0,5.0,8.0,5.0,7.0,5.0,5.0,7.0,5.0
20260223_225629,Qwen/Qwen3-VL-4B-Instruct_ft_20260223_223128,0.9200,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,8.0,8.0,5.0,7.0,5.0,5.0,5.0,5.0,8.0,5.0,7.0,5.0,5.0,7.0,5.0
20260224_010439,Qwen/Qwen3-VL-4B-Instruct,0.9200,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,8.0,8.0,5.0,7.0,5.0,5.0,5.0,5.0,8.0,5.0,7.0,5.0,5.0,7.0,5.0
20260224_010532,Qwen/Qwen3-VL-4B-Instruct,0.9200,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,8.0,8.0,5.0,7.0,5.0,5.0,5.0,5.0,8.0,5.0,7.0,5.0,5.0,7.0,5.0
20260224_010624,Qwen/Qwen3-VL-4B-Instruct,0.9200,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,8.0,8.0,5.0,7.0,5.0,5.0,5.0,5.0,8.0,5.0,7.0,5.0,5.0,7.0,5.0
